LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Multiply,aten::conv2d/Convolution_6/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(144x24x1x1) f32(144x1x1x1),f32(144x24x1x1)
Convolution,aten::conv2d/Convolution_6,0.0217,0.0000,0.0035,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x24x56x56) f32(144x24x1x1),f32(1x144x56x56)
Add,aten::conv2d/Add_9,0.0005,0.0000,0.0001,[auto_broadcast: numpy],f32(1x144x56x56) f32(1x144x1x1),f32(1x144x56x56)
Multiply,aten::conv2d/GroupConvolution_3/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(144x1x1x3x3) f32(144x1x1x1x1),f32(144x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_3,0.0020,0.0000,0.0013,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x144x56x56) f32(144x1x1x3x3),f32(1x144x28x28)
Add,aten::conv2d/Add_10,0.0001,0.0000,0.0001,[auto_broadcast: numpy],f32(1x144x28x28) f32(1x144x1x1),f32(1x144x28x28)
Multiply,aten::conv2d/Convolution_7/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(32x144x1x1) f32(32x1x1x1),f32(32x144x1x1)
Convolution,aten::conv2d/Convolution_7,0.0072,0.0000,0.0046,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x144x28x28) f32(32x144x1x1),f32(1x32x28x28)
Add,aten::conv2d/Add_11,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x28x28) f32(1x32x1x1),f32(1x32x28x28)
Multiply,aten::conv2d/Convolution_8/fq_weights_1,0.0000,0.0000,0.0002,[auto_broadcast: numpy],f32(192x32x1x1) f32(192x1x1x1),f32(192x32x1x1)
Convolution,aten::conv2d/Convolution_8,0.0096,0.0000,0.0061,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x28x28) f32(192x32x1x1),f32(1x192x28x28)
Add,aten::conv2d/Add_12,0.0002,0.0000,0.0002,[auto_broadcast: numpy],f32(1x192x28x28) f32(1x192x1x1),f32(1x192x28x28)
Multiply,aten::conv2d/GroupConvolution_4/fq_weights_1,0.0000,0.0000,0.0002,[auto_broadcast: numpy],f32(192x1x1x3x3) f32(192x1x1x1x1),f32(192x1x1x3x3)
