LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
MaxPool,model.9.m_2,0.0000,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
MaxPool,model.9.m_3,0.0000,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
Convolution,model.9.cv2.conv,1.6777,0.0000,0.8192,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1280x32x32) f32(640x1280x1x1),f32(1x640x32x32)
Swish,model.0.act_51,0.0007,0.0000,0.0000,[],f32(1x640x32x32),f32(1x640x32x32)
Interpolate,model.10,0.0000,0.0000,0.0000,[],f32(1x640x32x32),f32(1x640x64x64)
Concat,model.11,0.0000,0.0000,0.0000,[],f32(1x640x64x64) f32(1x640x64x64),f32(1x1280x64x64)
Convolution,model.12.cv1.conv,6.7109,0.0000,0.8192,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1280x64x64) f32(640x1280x1x1),f32(1x640x64x64)
Swish,model.0.act_52,0.0026,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x64x64)
Convolution,model.12.m.0.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_53,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.12.m.0.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_54,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.12.m.1.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_55,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.12.m.1.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_56,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.12.m.2.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_57,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.12.m.2.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_58,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.12.cv2.conv,8.3886,0.0000,1.0240,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1600x64x64) f32(640x1600x1x1),f32(1x640x64x64)
Swish,model.0.act_59,0.0026,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x64x64)
Interpolate,model.13,0.0000,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x128x128)
Concat,model.14,0.0000,0.0000,0.0000,[],f32(1x640x128x128) f32(1x320x128x128),f32(1x960x128x128)
Convolution,model.15.cv1.conv,10.0663,0.0000,0.3072,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x960x128x128) f32(320x960x1x1),f32(1x320x128x128)
Swish,model.0.act_60,0.0052,0.0000,0.0000,[],f32(1x320x128x128),f32(1x320x128x128)
