LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.6.m.0.cv2.conv,0.0066,0.0000,0.0020,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x40x40) f32(32x64x1x1),f32(1x32x40x40)
Swish,model.0.act_19,0.0001,0.0000,0.0000,[],f32(1x32x40x40),f32(1x32x40x40)
Convolution,model.6.m.0.cv3.conv,0.0131,0.0000,0.0041,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x40x40) f32(64x64x1x1),f32(1x64x40x40)
Swish,model.0.act_20,0.0001,0.0000,0.0000,[],f32(1x64x40x40),f32(1x64x40x40)
Convolution,model.6.cv2.conv,0.0786,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x40x40) f32(128x192x1x1),f32(1x128x40x40)
Swish,model.0.act_21,0.0002,0.0000,0.0000,[],f32(1x128x40x40),f32(1x128x40x40)
Convolution,model.7.conv,0.2359,0.0000,0.2949,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x128x40x40) f32(256x128x3x3),f32(1x256x20x20)
Swish,model.0.act_22,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.8.cv1.conv,0.0524,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(256x256x1x1),f32(1x256x20x20)
Swish,model.0.act_23,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.8.m.0.cv1.conv,0.0066,0.0000,0.0082,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x20x20) f32(64x128x1x1),f32(1x64x20x20)
Swish,model.0.act_24,0.0000,0.0000,0.0000,[],f32(1x64x20x20),f32(1x64x20x20)
Convolution,model.8.m.0.m.0.cv1.conv,0.0295,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x20x20) f32(64x64x3x3),f32(1x64x20x20)
Swish,model.0.act_25,0.0000,0.0000,0.0000,[],f32(1x64x20x20),f32(1x64x20x20)
Convolution,model.8.m.0.m.0.cv2.conv,0.0295,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x20x20) f32(64x64x3x3),f32(1x64x20x20)
Swish,model.0.act_26,0.0000,0.0000,0.0000,[],f32(1x64x20x20),f32(1x64x20x20)
Convolution,model.8.m.0.m.1.cv1.conv,0.0295,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x20x20) f32(64x64x3x3),f32(1x64x20x20)
Swish,model.0.act_27,0.0000,0.0000,0.0000,[],f32(1x64x20x20),f32(1x64x20x20)
Convolution,model.8.m.0.m.1.cv2.conv,0.0295,0.0000,0.0369,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x20x20) f32(64x64x3x3),f32(1x64x20x20)
Swish,model.0.act_28,0.0000,0.0000,0.0000,[],f32(1x64x20x20),f32(1x64x20x20)
Convolution,model.8.m.0.cv2.conv,0.0066,0.0000,0.0082,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x20x20) f32(64x128x1x1),f32(1x64x20x20)
Swish,model.0.act_29,0.0000,0.0000,0.0000,[],f32(1x64x20x20),f32(1x64x20x20)
Convolution,model.8.m.0.cv3.conv,0.0131,0.0000,0.0164,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x20x20) f32(128x128x1x1),f32(1x128x20x20)
Swish,model.0.act_30,0.0001,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
Convolution,model.8.cv2.conv,0.0786,0.0000,0.0983,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x20x20) f32(256x384x1x1),f32(1x256x20x20)
Swish,model.0.act_31,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.9.cv1.conv,0.0262,0.0000,0.0328,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(128x256x1x1),f32(1x128x20x20)
Swish,model.0.act_32,0.0001,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
MaxPool,model.9.m_1,0.0000,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
MaxPool,model.9.m_2,0.0000,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
MaxPool,model.9.m_3,0.0000,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
Convolution,model.9.cv2.conv,0.1049,0.0000,0.1311,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x20x20) f32(256x512x1x1),f32(1x256x20x20)
Swish,model.0.act_33,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.10.cv1.conv,0.0524,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(256x256x1x1),f32(1x256x20x20)
Swish,model.0.act_34,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.10.m.0.attn.qkv.conv,0.0262,0.0000,0.0328,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x20x20) f32(256x128x1x1),f32(1x256x20x20)
Identity,model.10.m.0.attn.qkv.act,0.0000,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
GroupConvolution,model.10.m.0.attn.pe.conv,0.0009,0.0000,0.0012,[auto_pad: explicit; dilations: (1xs1); group: 128; pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x128x20x20) f32(128x1x3x3),f32(1x128x20x20)
Identity,model.10.m.0.attn.pe.act,0.0000,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
Convolution,model.10.m.0.attn.proj.conv,0.0131,0.0000,0.0164,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x20x20) f32(128x128x1x1),f32(1x128x20x20)
Identity,model.10.m.0.attn.proj.act,0.0000,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
Convolution,model.10.m.0.ffn.0.conv,0.0262,0.0000,0.0328,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x128x20x20) f32(256x128x1x1),f32(1x256x20x20)
Swish,model.0.act_35,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Convolution,model.10.m.0.ffn.1.conv,0.0262,0.0000,0.0328,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(128x256x1x1),f32(1x128x20x20)
Identity,model.10.m.0.ffn.1.act,0.0000,0.0000,0.0000,[],f32(1x128x20x20),f32(1x128x20x20)
Convolution,model.10.cv2.conv,0.0524,0.0000,0.0655,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x20x20) f32(256x256x1x1),f32(1x256x20x20)
Swish,model.0.act_36,0.0001,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x20x20)
Interpolate,model.11,0.0000,0.0000,0.0000,[],f32(1x256x20x20),f32(1x256x40x40)
Concat,model.12,0.0000,0.0000,0.0000,[],f32(1x256x40x40) f32(1x128x40x40),f32(1x384x40x40)
Convolution,model.13.cv1.conv,0.1573,0.0000,0.0492,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x40x40) f32(128x384x1x1),f32(1x128x40x40)
Swish,model.0.act_37,0.0002,0.0000,0.0000,[],f32(1x128x40x40),f32(1x128x40x40)
Convolution,model.13.m.0.cv1.conv,0.0590,0.0000,0.0184,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x64x40x40) f32(32x64x3x3),f32(1x32x40x40)
Swish,model.0.act_38,0.0001,0.0000,0.0000,[],f32(1x32x40x40),f32(1x32x40x40)
